Questions,Answers
76. What are the specific risks of stress for people who have diabetes?,"A: The type of stress can matter. If you look specifically at mental stressors, they can cause an increase in blood glucose levels for people with type 2 diabetes, but they can have a more variable response, either increasing or decreasing blood glucose levels, for people with type 1. Physical stress can increase blood sugar in people with type 1 and type 2 diabetes.The experience of stress might lead to unhealthy behaviors such as poor eating or smoking,which we know can lead to an exacerbation of diabetes-related health problems, including high blood pressure, heart disease, and obesity. These conditions can make managing diabetes even harder."
"77. I am a diabetic, and I feel stressed out all the time. why ?","A: The type of stress can matter. If you look specifically at mental stressors, they can cause an increase in blood glucose levels for people with type 2 diabetes, but they can have a more variable response, either increasing or decreasing blood glucose levels, for people with type 1. Physical stress can increase blood sugar in people with type 1 and type 2 diabetes.The experience of stress might lead to unhealthy behaviors such as poor eating or smoking,which we know can lead to an exacerbation of diabetes-related health problems, including high blood pressure, heart disease, and obesity. These conditions can make managing diabetes even harder."
78. How can health care professionals help diabetic patients manage stress?,"A: Health care professionals can discuss with patients the impact of stress on health and why it’s important to manage it. They can engage with the patient about stressors they  might be experiencing and help them figure out ways to manage the stress. It’s important that health care professionals normalize the experience, by letting their patients know that everyone experiences stress, so they don’t feel bad for experiencing it.Health care professionals can also screen for diabetes distress and depression—this is recommended by the American Diabetes Association (ADA). If you notice that your patient is struggling with any type of mental health difficulties, refer him or her to mental support as well. The ADA provides evidence-based  guidelines External link for psychosocial assessment  and patient-centered psychosocial care."
79. What specific guidance for managing stress is offered to diabetic patients?,"A: It’s three-fold: having conversations with your patients, referring them to or giving them resources, and encouraging them to join support groups so that they can educate themselves and have a network of people whom they can lean on for support. Being part of a group will help normalize their experience and provide a sounding board for their concerns.It’s important also to encourage patients to do brief exercises—for example, meditation or a quick body scan where you focus on each part of your body from head to toe—and to keep a journal in which they track their stress levels. These stress-reduction practices can be helpful for the health care professional as well, and it’s a great investment to learn them yourself, because when you are doing these practices on your own, it’s easier to talk to your patients about them."
80. How essential is diabetes education and support along with medications?,"Research shows that diabetes self-management education and support (DSMES) can improve A1C levels and have a positive effect on other clinical, psychosocial, and behavioral aspects of diabetes."
81. Do I need to be educated about Diabetes?,"Research shows that diabetes self-management education and support (DSMES) can improve A1C levels and have a positive effect on other clinical, psychosocial, and behavioral aspects of diabetes."
82. Will getting educated or self-aware of diabetes help me in controlling my diabetes?,"Research shows that diabetes self-management education and support (DSMES) can improve A1C levels and have a positive effect on other clinical, psychosocial, and behavioral aspects of diabetes."
83. Why should health care providers promote diabetes self-management education and support (DSMES) for their patients with type 2 diabetes?,A: It’s important because over 90 percent of diabetes care is self-care; provided by the person with diabetes. Diabetes self-management education and support enables people to be the best self-managers possible.
84. When should that educational support be sought?,"First time point: At diagnosis, whether the person is on medication or not, to ensure that they understand their diabetes’ daily needs and to provide emotional and behavioral guidance for initial changes. We also want to start focusing on a healthy eating pattern that is individualized for that person.Second time point: During an annual assessment for education, nutrition, and emotional needs. This is a time to review, update, and provide additional support for all aspects of self- management.Third time point: When complicating factors influence self-management, such as a change in schedule or when a new disease detracts from one’s focus on the daily management of diabetes. For example, if a woman with diabetes is diagnosed with breast cancer, chemotherapy medication can affect her blood glucose, her desire to eat, or the taste of food. We can help her and others in this situation find a food plan that best fits them during this time and also adjust other aspects of their care so that they can continue to be confident in their diabetes management.Fourth time point: When transitions in care occur, such as when someone is transitioning from the hospital to home or from home to assisted living. These transitions can affect an individual’s activity or ability to function, and we want to be on top of that, while also attending to other adjustments that might influence daily choices."
85. When should I get awareness about diabetes?,"First time point: At diagnosis, whether the person is on medication or not, to ensure that they understand their diabetes’ daily needs and to provide emotional and behavioral guidance for initial changes. We also want to start focusing on a healthy eating pattern that is individualized for that person.Second time point: During an annual assessment for education, nutrition, and emotional needs. This is a time to review, update, and provide additional support for all aspects of self- management.Third time point: When complicating factors influence self-management, such as a change in schedule or when a new disease detracts from one’s focus on the daily management of diabetes. For example, if a woman with diabetes is diagnosed with breast cancer, chemotherapy medication can affect her blood glucose, her desire to eat, or the taste of food. We can help her and others in this situation find a food plan that best fits them during this time and also adjust other aspects of their care so that they can continue to be confident in their diabetes management.Fourth time point: When transitions in care occur, such as when someone is transitioning from the hospital to home or from home to assisted living. These transitions can affect an individual’s activity or ability to function, and we want to be on top of that, while also attending to other adjustments that might influence daily choices."
"86. My family member has diabetes, should I get educated too on how to manage diabetes? These time points are relevant for the other aspects of diabetes care.","First time point: At diagnosis, whether the person is on medication or not, to ensure that they understand their diabetes’ daily needs and to provide emotional and behavioral guidance for initial changes. We also want to start focusing on a healthy eating pattern that is individualized for that person.Second time point: During an annual assessment for education, nutrition, and emotional needs. This is a time to review, update, and provide additional support for all aspects of self- management.Third time point: When complicating factors influence self-management, such as a change in schedule or when a new disease detracts from one’s focus on the daily management of diabetes. For example, if a woman with diabetes is diagnosed with breast cancer, chemotherapy medication can affect her blood glucose, her desire to eat, or the taste of food. We can help her and others in this situation find a food plan that best fits them during this time and also adjust other aspects of their care so that they can continue to be confident in their diabetes management.Fourth time point: When transitions in care occur, such as when someone is transitioning from the hospital to home or from home to assisted living. These transitions can affect an individual’s activity or ability to function, and we want to be on top of that, while also attending to other adjustments that might influence daily choices."
87. What’s the evidence that diabetes education improves outcomes?,"Research shows that diabetes education improves the quality of life, self-efficacy, empowerment, healthy coping strategies, self-care behaviors, and adherence to the food plan. It also leads to healthier food choices, more activity, and use of glucose monitoring, and it lowers blood pressure and lipids. This is all referenced and cited in the article."
88. Will my diabetes be managed well if I know about it >,"Research shows that diabetes education improves the quality of life, self-efficacy, empowerment, healthy coping strategies, self-care behaviors, and adherence to the food plan. It also leads to healthier food choices, more activity, and use of glucose monitoring, and it lowers blood pressure and lipids. This is all referenced and cited in the article."
89. What's preventing everyone with diabetes from receiving diabetes education?,"ADA recommend that everybody should receive nutrition therapy from a qualified personand they should receive diabetes education. People living with diabetes need to have clear expectations for this, and the health system—including primary care providers—needs to make the referrals. Clinical systems management can help by providing automatic referrals at the four critical time points. Another barrier is that the referral to diabetes education must come from the primary care provider. It can’t be the cardiologist, for example, and the patient cannot self-refer."
90. Why people don’t get diabetes education?,"ADA recommend that everybody should receive nutrition therapy from a qualified personand they should receive diabetes education. People living with diabetes need to have clear expectations for this, and the health system—including primary care providers—needs to make the referrals. Clinical systems management can help by providing automatic referrals at the four critical time points. Another barrier is that the referral to diabetes education must come from the primary care provider. It can’t be the cardiologist, for example, and the patient cannot self-refer."
91. What is the stigma that prevents us from seeking help?,"ADA recommend that everybody should receive nutrition therapy from a qualified personand they should receive diabetes education. People living with diabetes need to have clear expectations for this, and the health system—including primary care providers—needs to make the referrals. Clinical systems management can help by providing automatic referrals at the four critical time points. Another barrier is that the referral to diabetes education must come from the primary care provider. It can’t be the cardiologist, for example, and the patient cannot self-refer."
92. How do you treat type 2 diabetes?,"When you have type 2 diabetes, you first need to eat a healthy diet, stay physically active and lose any extra weight. If these lifestyle changes cannot control your blood sugar, you also may need to take pills and other injected medication, including insulin.Eating a healthy diet, being physically active, and losing any extra weight is the first line of therapy. “Diet and exercise” is the foundation of all diabetes management because it makes your body’s cells respond better to insulin (in other words, it decreases insulin resistance) and lowers blood sugar levels.If you cannot normalize or control the blood sugars with diet, weight loss and exercise, the next treatment phase is taking medicine either orally or by injection.To get to know more information , Speak to our healthcare team and make a free call now on 0800-66766."
93. I am a type 2 diabetic. What is the best line of treatment.,"When you have type 2 diabetes, you first need to eat a healthy diet, stay physically active and lose any extra weight. If these lifestyle changes cannot control your blood sugar, you also may need to take pills and other injected medication, including insulin.Eating a healthy diet, being physically active, and losing any extra weight is the first line of therapy. “Diet and exercise” is the foundation of all diabetes management because it makes your body’s cells respond better to insulin (in other words, it decreases insulin resistance) and lowers blood sugar levels.If you cannot normalize or control the blood sugars with diet, weight loss and exercise, the next treatment phase is taking medicine either orally or by injection.To get to know more information , Speak to our healthcare team and make a free call now on 0800-66766."
94. Why am I prescribed multiple medicines for my diabetes management?,"Don’t be surprised if you have to use multiple medications to control the blood sugar. Multiple medications, also known as combination therapy is common in the treatment of diabetes! If one medication is not enough, you medical provider may give you two or three or  more different types of pills. Insulin or other injected medications also may be prescribed. Or, depending on your medical condition, you may be treated only with insulin or injected medication therapy.Many people with type 2 diabetes have elevated blood fats (high triglycerides and cholesterol) and blood pressure, so you may be given medications for these problems as well.To get to know more information about your current medications, Speak to our healthcareteam and make a free call now on 0800-66766."
"95. Can type 2 diabetes go away? And if my blood sugar becomes normal, do I still have diabetes?","Type 2 diabetes is a genetic condition or pre-disposition that doesn’t change with treatment. But diabetes is defined as an elevated blood sugar.When your blood sugar is normal with no treatment, then the diabetes is considered to have gone away. However, even when the blood sugars are controlled, because type 2 diabetes is a genetic condition, the predisposition for diabetes always exists. High blood sugars can come back.If you have type 2 diabetes and the blood sugar is controlled during treatment (diet, exercise and medications), it means that the treatment plan is working. You are getting the good blood sugar because of the treatment – NOT because diabetes predisposition has gone away. You will need to continue your treatment; otherwise, your blood sugar will go back up."
96. Can I stop taking my medications if my blood sugar is under control?,"Type 2 diabetes is a genetic condition or pre-disposition that doesn’t change with treatment. But diabetes is defined as an elevated blood sugar.When your blood sugar is normal with no treatment, then the diabetes is considered to have gone away. However, even when the blood sugars are controlled, because type 2 diabetes is a genetic condition, the predisposition for diabetes always exists. High blood sugars can come back.If you have type 2 diabetes and the blood sugar is controlled during treatment (diet, exercise and medications), it means that the treatment plan is working. You are getting the good blood sugar because of the treatment – NOT because diabetes predisposition has gone away. You will need to continue your treatment; otherwise, your blood sugar will go back up."
97. Will I need to take insulin if I have type 2 diabetes?,"Maybe. Historically, 30%  or  more of people with  type  2 diabetes required  insulin therapy. However there are many new drugs available that may delay or prevent the need for insulin therapy. It is expected that fewer and fewer individuals will need insulin replacement to control their blood sugars."
"94. As someone with type 2 diabetes, do I turn into a type 1 diabetic when I take insulin?","No. Taking insulin does not mean that you have type 1 diabetes. Your type of diabetes is determined by your genetics, not by the type of therapy."
"98. If I have type 2 diabetes and take insulin, do I have to take it forever?","Not necessarily. If you can lose weight, change your diet, increase your activity level, or change your medications you may be able to reduce or stop insulin therapy. Under certain circumstances, you may only need insulin temporarily – such as during pregnancy, acute illness, after surgery or when treated with drugs that increase their body’s resistance to the action of insulin (such as prednisone or steroids). Often the insulin therapy can be stopped after the event or stress is over."
99. Will I ever get to stop using insulin?,"Not necessarily. If you can lose weight, change your diet, increase your activity level, or change your medications you may be able to reduce or stop insulin therapy. Under certain circumstances, you may only need insulin temporarily – such as during pregnancy, acute illness, after surgery or when treated with drugs that increase their body’s resistance to the action of insulin (such as prednisone or steroids). Often the insulin therapy can be stopped after the event or stress is over."
100.           Will exercise help my diabetes?,"Exercise is very beneficial in the management of type 2 diabetes. Always consult with yourdoctor about exercise guidelines, to exercise safely and reduce risks."
101.           Do I need exercise to control my diabetes?,"Exercise is very beneficial in the management of type 2 diabetes. Always consult with yourdoctor about exercise guidelines, to exercise safely and reduce risks."
102.           If I have type 2 diabetes can I stop taking diabetes medications if I eliminate candy and cookies from my diet?,"If you eliminate concentrated sources of carbohydrates (foods that turn into sugar in your blood stream) like candy and cookies, you may be able to reduce or eliminate the need for diabetes medications. Everyone with type 2 diabetes will benefit from an improved diet, but you may still need other interventions, such as increased physical activity, weight loss or medications to keep your blood sugars in the target range. Check with your doctor about any diabetes medication dose adjustments that may be required if you change your diet."
"103.           If I stop taking sweets and carbonated drinks, can I stop taking my diabetes medicines ?","If you eliminate concentrated sources of carbohydrates (foods that turn into sugar in your blood stream) like candy and cookies, you may be able to reduce or eliminate the need for diabetes medications. Everyone with type 2 diabetes will benefit from an improved diet, but you may still need other interventions, such as increased physical activity, weight loss or medications to keep your blood sugars in the target range. Check with your doctor about any diabetes medication dose adjustments that may be required if you change your diet."
104.           Do I need to monitor my blood sugar when I have type 2 diabetes?,"You may feel fine, but that is no guarantee that your blood sugar levels are in the target range. Remember, diabetic complications do not appear right away. And complications may develop even when the blood sugar is only slightly elevated. Regular blood sugar monitoring can help you keep your blood sugars in control and prevent serious damage to your eyes, kidneys and nerves. If your sugar levels are out of line, consult your doctor."
105.           Why do I need to check my blood sugar levels?,"You may feel fine, but that is no guarantee that your blood sugar levels are in the target range. Remember, diabetic complications do not appear right away. And complications may develop even when the blood sugar is only slightly elevated. Regular blood sugar monitoring can help you keep your blood sugars in control and prevent serious damage to your eyes, kidneys and nerves. If your sugar levels are out of line, consult your doctor."
106.           Are my children at risk?,"Yes. Type 2 diabetes is a genetic disease. The risk is highest when multiple family members have diabetes, and if the children also are overweight, sedentary and have the other risk factors for type 2 diabetes. Your child has a 10-15% chance of developing type 2 diabetes when you have type 2 diabetes. And if one identical twin has type 2 diabetes, there is a 75% likelihood of the other twin developing type 2 diabetes also."
107.           Can my siblings be also diabetic ?,"Yes. Type 2 diabetes is a genetic disease. The risk is highest when multiple family members have diabetes, and if the children also are overweight, sedentary and have the other risk factors for type 2 diabetes. Your child has a 10-15% chance of developing type 2 diabetes when you have type 2 diabetes. And if one identical twin has type 2 diabetes, there is a 75% likelihood of the other twin developing type 2 diabetes also."
108.           Can Diabetes be prevented?,"Although we cannot change your genetic risk for developing type 2 diabetes, we do know that even modest exercise and weight loss can delay or prevent the development of type 2 diabetes. A landmark research study in the United States, the Diabetes Prevention Program (DPP) was completed in 2002 and showed that when people modified their risk factors for type 2 diabetes, they reduced their chance of developing the condition. Similar results have been shown in Finland.In the DPP study, people with pre-diabetes were enrolled and assigned to 3 different treatments:Intensive lifestyle changes – exercise (30 minutes, 5 days a week), a healthy diet, and weightloss (loss of 7% of initial weight)The diabetes drug, Metformin An inactive placebo disguised as MetforminThe group that made lifestyle changes was 58% less likely to develop diabetes compared to the placebo group. And the group that took Metformin was 31% less likely to develop diabetes compared to the placebo group. In other words – lifestyle changes and Metformin therapy can delay or prevent the onset of type 2 diabetes. Lifestyle changes (weight loss, healthy diet and activity) are the most effective intervention."
109.           What are ketones and why do I need to know about them?,"Ketones and ketoacids are alternative fuels for the body that are made when glucose is in short supply. They are made in the liver from the breakdown of fats.Ketones are formed when there is not enough sugar or glucose to supply the body’s fuel needs. This occurs overnight, and during dieting or fasting. During these periods, insulin levels are low, but glucagon and epinephrine levels are relatively normal. This combination of low insulin, and relatively normal glucagon and epinephrine levels causes fat to be released from the fat cells. The fats travel through the blood circulation to reach the liver where they are processed into ketone units. The ketone units then circulate back into the blood stream and are picked up by the muscle and other tissues to fuel your body’s metabolism. In a person without diabetes, ketone production is the body’s normal adaptation to starvation. Blood sugar levels never get too high, because the production is regulated by just the right balance of insulin, glucagon and other hormones."
110.           What happens to my blood sugar levels when I’m stressed?,"During stressful situations, epinephrine (adrenaline), glucagon, growth hormone and cortisol play a role in blood sugar levels. Stressful situations include infections, serious illness or significant emotion stress.When stressed, the body prepares itself by ensuring that enough sugar or energy is readily available. Insulin levels fall, glucagon and epinephrine (adrenaline) levels rise and more glucose is released from the liver. At the same time, growth hormone and cortisol levels rise, which causes body tissues (muscle and fat) to be less sensitive to insulin. As a result, more glucose is available in the blood stream.When you have type 2 diabetes, low blood sugars from too much medication or insulin are a common cause of stress. The hormonal response to a low blood sugar includes a rapid releaseof epinephrine and glucagon, followed by a slower release of cortisol and growth hormone.These hormonal responses to the low blood sugar may last for 6-8 hours – during that time the blood sugar may be difficult to control. The phenomena of a low blood sugar followed by a high blood sugar is called a “rebound” or “Somogyi” reaction.When you have type 2  diabetes, stress may make your blood sugar go up and become moredifficult to control – and you may need to take higher doses of your diabetes medications or insulin."
111.           Which hormones are effected when I am stressed?,"During stressful situations, epinephrine (adrenaline), glucagon, growth hormone and cortisol play a role in blood sugar levels. Stressful situations include infections, serious illness or significant emotion stress.When stressed, the body prepares itself by ensuring that enough sugar or energy is readily available. Insulin levels fall, glucagon and epinephrine (adrenaline) levels rise and more glucose is released from the liver. At the same time, growth hormone and cortisol levels rise, which causes body tissues (muscle and fat) to be less sensitive to insulin. As a result, more glucose is available in the blood stream.When you have type 2 diabetes, low blood sugars from too much medication or insulin are a common cause of stress. The hormonal response to a low blood sugar includes a rapid releaseof epinephrine and glucagon, followed by a slower release of cortisol and growth hormone.These hormonal responses to the low blood sugar may last for 6-8 hours – during that time the blood sugar may be difficult to control. The phenomena of a low blood sugar followed by a high blood sugar is called a “rebound” or “Somogyi” reaction.When you have type 2  diabetes, stress may make your blood sugar go up and become moredifficult to control – and you may need to take higher doses of your diabetes medications or insulin."
"112.           Being a diabetic, what stress can do to me ?","During stressful situations, epinephrine (adrenaline), glucagon, growth hormone and cortisol play a role in blood sugar levels. Stressful situations include infections, serious illness or significant emotion stress.When stressed, the body prepares itself by ensuring that enough sugar or energy is readily available. Insulin levels fall, glucagon and epinephrine (adrenaline) levels rise and more glucose is released from the liver. At the same time, growth hormone and cortisol levels rise, which causes body tissues (muscle and fat) to be less sensitive to insulin. As a result, more glucose is available in the blood stream.When you have type 2 diabetes, low blood sugars from too much medication or insulin are a common cause of stress. The hormonal response to a low blood sugar includes a rapid releaseof epinephrine and glucagon, followed by a slower release of cortisol and growth hormone.These hormonal responses to the low blood sugar may last for 6-8 hours – during that time the blood sugar may be difficult to control. The phenomena of a low blood sugar followed by a high blood sugar is called a “rebound” or “Somogyi” reaction.When you have type 2  diabetes, stress may make your blood sugar go up and become moredifficult to control – and you may need to take higher doses of your diabetes medications or insulin."
"113.           Do you have any suggestions for treating the pain of neuropathy, caused by circulation problems associated with diabetes?","Neuropathic pain -- from tingling and numbness to shooting pains in the extremities -- can be tough to treat, but fortunately we have some medications that can be used. They include antidepressants or anti-seizure medications."
114.           What is a neuropathic pain ?,"Neuropathic pain -- from tingling and numbness to shooting pains in the extremities -- can be tough to treat, but fortunately we have some medications that can be used. They include antidepressants or anti-seizure medications."
115.           What can be done to avoid nerve damage related to diabetes? Can problems related to nerve damage be reversed?,
116.           What is prediabetes?,"Prediabetes is a condition that can lead to Type 2 diabetes and heart disease. Prediabetes means that your blood sugar level is higher than normal but not yet high enough to be classified as Type 2 diabetes. You can take steps to prevent or delay Type 2 diabetes and heart disease. On the positive side, prediabetes can be an opportunity for you to improve your health."
117.           Do I have prediabetes?,"You are likely to develop prediabetes when you have certain risk factors. You are at higher risk for prediabetes if you:?    are 45 or older?    are  African  American,  Hispanic/Latino,  American  Indian,  Asian  American  or  PacificIslander?    have a parent, brother, sister with diabetes?    are overweight?    are physically inactive?    have high blood pressure or you take medicine for high blood pressure?    are a woman who had diabetes during pregnancy (gestational diabetes)Those who should be screened for prediabetes include overweight adults age 45 and older and those under age 45 who are overweight and have one or more of the risk factors."
118.           How do I know that I am a prediabetic?,"You are likely to develop prediabetes when you have certain risk factors. You are at higher risk for prediabetes if you:?    are 45 or older?    are  African  American,  Hispanic/Latino,  American  Indian,  Asian  American  or  PacificIslander?    have a parent, brother, sister with diabetes?    are overweight?    are physically inactive?    have high blood pressure or you take medicine for high blood pressure?    are a woman who had diabetes during pregnancy (gestational diabetes)Those who should be screened for prediabetes include overweight adults age 45 and older and those under age 45 who are overweight and have one or more of the risk factors."
119.           How can I prevent or delay diabetes?,"You can prevent or delay Type 2 diabetes by losing 5 to 7% of your weight. For someone who weighs 200 pounds, 7% is only 14 pounds! Motivate yourself by remembering the benefits of losing weight, such as a healthier heart, more energy  and improved  self-esteem. Ways to prevent or delay Type 2 diabetes include:?    cutting back on calories and saturated fat?    losing weight?    increasing your daily physical activityIf you are overweight, your first goal should be to lose weight. One key issue in losing weight is controlling portion size and making healthful food choices that cut down on the amount of fat you eat. Each gram of fat has significantly more calories than carbohydrate and protein grams."
120.           Can diabetes onset be delayed or prevented ?,"You can prevent or delay Type 2 diabetes by losing 5 to 7% of your weight. For someone who weighs 200 pounds, 7% is only 14 pounds! Motivate yourself by remembering the benefits of losing weight, such as a healthier heart, more energy  and improved  self-esteem. Ways to prevent or delay Type 2 diabetes include:?    cutting back on calories and saturated fat?    losing weight?    increasing your daily physical activityIf you are overweight, your first goal should be to lose weight. One key issue in losing weight is controlling portion size and making healthful food choices that cut down on the amount of fat you eat. Each gram of fat has significantly more calories than carbohydrate and protein grams."
121.           What should I eat?,"What you eat is important, but so is how much you eat of certain foods. Here are a few tips to make better food choices:?    eat more foods that are broiled and fewer foods that are fried?    cut back on the amount of butter you use?    eat more fish and chicken and only lean cuts of beef?    add more fruits and vegetables to your dietHaving prediabetes or diabetes does not mean that you cannot eat certain foods. The solution isn’t to avoid foods with sugar in them, but to limit how often you eat processed, high-sugar foods, and watch the portion size when you do indulge. Choose foods low in fat and calories and high in fiber. Focus on fruits, vegetables and whole grains."
122.           What is a good diet for a diabetic patient?,"What you eat is important, but so is how much you eat of certain foods. Here are a few tips to make better food choices:?    eat more foods that are broiled and fewer foods that are fried?    cut back on the amount of butter you use?    eat more fish and chicken and only lean cuts of beef?    add more fruits and vegetables to your dietHaving prediabetes or diabetes does not mean that you cannot eat certain foods. The solution isn’t to avoid foods with sugar in them, but to limit how often you eat processed, high-sugar foods, and watch the portion size when you do indulge. Choose foods low in fat and calories and high in fiber. Focus on fruits, vegetables and whole grains."
123.           How much time should I exercise?,"Aim for 30 to 60 minutes of moderate physical activity most days of the week. Take a brisk walk,ride your bike or swim laps. Try not to let more than two days go by without some exercise."
124.           I walk for 30 minutes everyday. It is enough ?,"Aim for 30 to 60 minutes of moderate physical activity most days of the week. Take a brisk walk,ride your bike or swim laps. Try not to let more than two days go by without some exercise."
125.           How does having prediabetes affect my health in the future?,"If you take no action, prediabetes in many cases will progress to Type 2 diabetes within five years. Losing 5 to 7% of your weight through lifestyle changes that include more healthful eating and increased physical activity can prevent prediabetes from progressing to Type 2 diabetes. Take action today to prevent Type 2 diabetes and avoid the complications that diabetes and heart disease could bring. Small steps can make a difference in your health. Take one to two small steps today."
126.           Why and how can I get diabetes?,"Diabetes occurs for a number of reasons, but the ultimate cause of the high blood sugar that characterizes the disorder is either deficiency of the hormone insulin or a combination of insulin deficiency and resistance of the body tissues to its actions. In response to food intake, insulin is released by specialized cells in the pancreas and is necessary for adequate amounts of glucose and other nutrients from food to be absorbed into certain tissues of the body. When insulin is lacking or the body resists its actions, the level of glucose in the blood becomes excessively high and diabetes is diagnosed."
127.           What is the difference between type 1 and type 2 diabetes?,"Type 1 diabetes is entirely due to an almost complete deficiency of insulin. The deficiency is the result of the immune system erroneously attacking and destroying the insulin-producing cells in the pancreas. For the proper functioning of our bodies, it is necessary for insulin to be present at all times in the bloodstream and tissues, not only after we have eaten.Type 2 diabetes is due to a combination of our body tissues becoming resistant to the action of insulin and the inability of the pancreas to make enough extra insulin to overcome it. Although this latter component of the problem is often viewed as a failure of the pancreas, it is only in recent times, when our lifestyle and environment have caused many of us to become very insulin resistant, that the insulin-producing capacity is unable to compensate."
Hi,"Hello, I am DiBot, feel free to ask any question!"
What is diabetes,"Diabetes is a serious condition where your blood glucose level is too high. It can happen when your body doesn't produce enough insulin or the insulin it produces isn't effective. Or, when your body can't produce any insulin at all."
